Country Code,Location,2030
356,India,1503642
156,China,1464340
840,United States of America, 349642
360,Indonesia, 299198
566,Nigeria, 262977
586,Pakistan, 262959
76,Brazil, 223852
50,Bangladesh, 178994
231,Ethiopia, 144944
643, Russian Federation, 143348
